date,action,confidence,target,return
2019-11-16 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-11-17 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-11-18 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-11-19 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-11-20 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-11-21 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-11-22 00:00:00+00:00,SHORT,0.6413783808472449,-1,0.03844922726650641
2019-11-23 00:00:00+00:00,SHORT,0.8246232570013637,-1,0.055850507112405245
2019-11-24 00:00:00+00:00,SHORT,0.6445306119704911,0,0.010484115180201186
2019-11-25 00:00:00+00:00,NO_TRADE,0.2304273899786436,1,0.0
2019-11-26 00:00:00+00:00,NO_TRADE,0.09064322890517904,1,0.0
2019-11-27 00:00:00+00:00,NO_TRADE,0.06665998043361858,1,0.0
2019-11-28 00:00:00+00:00,NO_TRADE,0.24095439300775992,0,0.0
2019-11-29 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-11-30 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-01 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-12-02 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-03 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-12-04 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-12-05 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-12-06 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-12-07 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-12-08 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-09 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-10 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-11 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-12-12 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-12-13 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-14 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-15 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-16 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-17 00:00:00+00:00,SHORT,0.7110535399855087,-1,0.011703788795059622
2019-12-18 00:00:00+00:00,NO_TRADE,0.18056910074274451,1,0.0
2019-12-19 00:00:00+00:00,NO_TRADE,0.29819236384178915,0,0.0
2019-12-20 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2019-12-21 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2019-12-22 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-12-23 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-24 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-25 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-12-26 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2019-12-27 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2019-12-28 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2019-12-29 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2019-12-30 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2019-12-31 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-01-01 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-01-02 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-03 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-04 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-05 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-06 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-07 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-01-08 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-01-09 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-10 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-11 00:00:00+00:00,LONG,0.7868205006931209,0,-0.0021411955253869655
2020-01-12 00:00:00+00:00,LONG,0.9039988121257617,1,0.06421139832304171
2020-01-13 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-14 00:00:00+00:00,LONG,0.9123631450507877,1,0.055263312014527916
2020-01-15 00:00:00+00:00,LONG,0.8769731014349451,1,0.02209936845386303
2020-01-16 00:00:00+00:00,LONG,0.9128571358017191,1,0.05794546518274128
2020-01-17 00:00:00+00:00,LONG,0.6961646146848395,0,0.01055542627575634
2020-01-18 00:00:00+00:00,NO_TRADE,0.31067509885002736,-1,0.0
2020-01-19 00:00:00+00:00,NO_TRADE,0.2776260169406851,-1,0.0
2020-01-20 00:00:00+00:00,LONG,0.664680028833243,1,0.015553339585658407
2020-01-21 00:00:00+00:00,NO_TRADE,0.10735342196348704,-1,0.0
2020-01-22 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-01-23 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-01-24 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-01-25 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-26 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-27 00:00:00+00:00,NO_TRADE,0.08233284999793324,1,0.0
2020-01-28 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-29 00:00:00+00:00,LONG,0.9403361491331561,1,0.02680075539540834
2020-01-30 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-01-31 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-02-01 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-02-02 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-02-03 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-02-04 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-02-05 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-02-06 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-02-07 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-02-08 00:00:00+00:00,LONG,0.7064961586608204,0,0.00010878308829723529
2020-02-09 00:00:00+00:00,LONG,0.8739038854752935,0,-0.006874525633450614
2020-02-10 00:00:00+00:00,LONG,0.8700995322518079,1,0.13260269823122897
2020-02-11 00:00:00+00:00,LONG,0.9130431344418919,1,0.17142035050512686
2020-02-12 00:00:00+00:00,LONG,0.8643190149111212,1,0.06513566408888147
2020-02-13 00:00:00+00:00,LONG,0.8166957602201367,1,0.03422041118446415
2020-02-14 00:00:00+00:00,NO_TRADE,0.24655975701557362,-1,0.0
2020-02-15 00:00:00+00:00,NO_TRADE,0.21803362456053177,-1,0.0
2020-02-16 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-02-17 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-02-18 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-02-19 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-02-20 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-02-21 00:00:00+00:00,NO_TRADE,0.13939323512585663,1,0.0
2020-02-22 00:00:00+00:00,NO_TRADE,0.12362194269231651,1,0.0
2020-02-23 00:00:00+00:00,SHORT,0.5302567548062644,-1,0.04536525611134324
2020-02-24 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-02-25 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-02-26 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-02-27 00:00:00+00:00,NO_TRADE,0.2647998262742927,0,0.0
2020-02-28 00:00:00+00:00,NO_TRADE,0.4567182794872314,0,0.0
2020-02-29 00:00:00+00:00,NO_TRADE,0.21171171649418485,0,0.0
2020-03-01 00:00:00+00:00,NO_TRADE,0.3002536864430358,1,0.0
2020-03-02 00:00:00+00:00,NO_TRADE,0.17721037009049545,0,0.0
2020-03-03 00:00:00+00:00,NO_TRADE,0.3364415589727657,0,0.0
2020-03-04 00:00:00+00:00,NO_TRADE,0.12748420332700694,1,0.0
2020-03-05 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-03-06 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-03-07 00:00:00+00:00,NO_TRADE,0.1454052518934302,-1,0.0
2020-03-08 00:00:00+00:00,NO_TRADE,0.13558593744826516,-1,0.0
2020-03-09 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-03-10 00:00:00+00:00,SHORT,0.8815667833519188,-1,0.25276624961892236
2020-03-11 00:00:00+00:00,SHORT,0.8347797251540504,-1,0.46376181521286686
2020-03-12 00:00:00+00:00,SHORT,0.9379049021976157,-1,0.18923993876198406
2020-03-13 00:00:00+00:00,SHORT,0.7677777229670083,0,-0.0031398433062206563
2020-03-14 00:00:00+00:00,SHORT,0.8812534032841521,-1,0.13347123487378643
2020-03-15 00:00:00+00:00,SHORT,0.7754832381869488,-1,0.06007819565270539
2020-03-16 00:00:00+00:00,NO_TRADE,0.36675485266871183,0,0.0
2020-03-17 00:00:00+00:00,NO_TRADE,0.18081804208333158,1,0.0
2020-03-18 00:00:00+00:00,NO_TRADE,0.12597865143695505,1,0.0
2020-03-19 00:00:00+00:00,NO_TRADE,0.23052432125369424,1,0.0
2020-03-20 00:00:00+00:00,SHORT,0.6068113557774253,-1,0.06048259081844569
2020-03-21 00:00:00+00:00,LONG,0.9365738698968286,0,-0.03823049828125992
2020-03-22 00:00:00+00:00,LONG,0.9623509599071249,1,0.04934470056287843
2020-03-23 00:00:00+00:00,LONG,0.8495053570002317,1,0.07641976400837491
2020-03-24 00:00:00+00:00,LONG,0.7197301657455771,0,-0.011006693989184723
2020-03-25 00:00:00+00:00,LONG,0.8869888895473381,0,0.000646431835189365
2020-03-26 00:00:00+00:00,NO_TRADE,0.13407058768826735,-1,0.0
2020-03-27 00:00:00+00:00,NO_TRADE,0.10643462249525047,-1,0.0
2020-03-28 00:00:00+00:00,NO_TRADE,0.23360213516788073,0,0.0
2020-03-29 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-03-30 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-03-31 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-04-01 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-04-02 00:00:00+00:00,NO_TRADE,0.09859881674930158,1,0.0
2020-04-03 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-04-04 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-04-05 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-04-06 00:00:00+00:00,LONG,0.8703975030252695,1,0.09143901147257073
2020-04-07 00:00:00+00:00,NO_TRADE,0.4702088571091213,0,0.0
2020-04-08 00:00:00+00:00,NO_TRADE,0.3574404605398373,-1,0.0
2020-04-09 00:00:00+00:00,NO_TRADE,0.1348353256774035,-1,0.0
2020-04-10 00:00:00+00:00,NO_TRADE,0.21166901257740406,0,0.0
2020-04-11 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-04-12 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-04-13 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-04-14 00:00:00+00:00,NO_TRADE,0.11918457889670746,1,0.0
2020-04-15 00:00:00+00:00,NO_TRADE,0.04607017323943727,1,0.0
2020-04-16 00:00:00+00:00,NO_TRADE,0.12657604661863986,1,0.0
2020-04-17 00:00:00+00:00,NO_TRADE,0.07279226104230886,1,0.0
2020-04-18 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-04-19 00:00:00+00:00,NO_TRADE,0.13216809903995136,-1,0.0
2020-04-20 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-04-21 00:00:00+00:00,LONG,0.5842641271594978,1,0.07520186538688156
2020-04-22 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-04-23 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-04-24 00:00:00+00:00,LONG,0.8964039604524202,1,0.04076421916951569
2020-04-25 00:00:00+00:00,LONG,0.9135428256108313,0,0.01449985708856251
2020-04-26 00:00:00+00:00,LONG,0.8692982160086923,0,0.0014495170646114828
2020-04-27 00:00:00+00:00,LONG,0.8694643046843127,1,0.05911229057075645
2020-04-28 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-04-29 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-04-30 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-05-01 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-05-02 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-05-03 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-05-04 00:00:00+00:00,LONG,0.7652222500154252,1,0.016436317149746228
2020-05-05 00:00:00+00:00,LONG,0.8179117735903697,0,0.002838240435273896
2020-05-06 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-07 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-08 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-05-09 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-05-10 00:00:00+00:00,NO_TRADE,0.10854236134832791,0,0.0
2020-05-11 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-12 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-13 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-14 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-05-15 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-16 00:00:00+00:00,NO_TRADE,0.12513527426942608,1,0.0
2020-05-17 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-18 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-05-19 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-05-20 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-05-21 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-05-22 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-23 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-05-24 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-05-25 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-05-26 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-27 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-28 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-29 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-30 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-05-31 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-06-01 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-06-02 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-06-03 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-06-04 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-06-05 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-06-06 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-06-07 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-06-08 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-06-09 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-06-10 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-06-11 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-06-12 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-06-13 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-06-14 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-06-15 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-06-16 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-06-17 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-06-18 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-06-19 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-06-20 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-06-21 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-06-22 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-06-23 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-06-24 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-06-25 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-06-26 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-06-27 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-06-28 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-06-29 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-06-30 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-01 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-07-02 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-07-03 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-07-04 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-05 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-06 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-07 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-08 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-07-09 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-07-10 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-07-11 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-12 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-07-13 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-07-14 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-07-15 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-07-16 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-07-17 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-18 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-19 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-20 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-21 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-22 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-23 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-07-24 00:00:00+00:00,LONG,0.9335701930501038,1,0.10961158206239117
2020-07-25 00:00:00+00:00,LONG,0.9244086624558736,1,0.11468019155750439
2020-07-26 00:00:00+00:00,LONG,0.9131545112434414,1,0.031807155803524605
2020-07-27 00:00:00+00:00,LONG,0.8955271195379491,0,-0.007201317385447071
2020-07-28 00:00:00+00:00,LONG,0.9676806508686587,0,0.012632089474705534
2020-07-29 00:00:00+00:00,LONG,0.9537453276207168,1,0.0595433488952231
2020-07-30 00:00:00+00:00,LONG,0.9001941699406893,1,0.11473885743562631
2020-07-31 00:00:00+00:00,LONG,0.952149912154532,1,0.10880791349257225
2020-08-01 00:00:00+00:00,LONG,0.961435816798698,1,0.06854473495063781
2020-08-02 00:00:00+00:00,LONG,0.9132713352197339,1,0.030931106615598933
2020-08-03 00:00:00+00:00,LONG,0.8771612714106645,1,0.02012364023481185
2020-08-04 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-08-05 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-08-06 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-08-07 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-08-08 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-08-09 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-08-10 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-08-11 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-08-12 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-08-13 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-08-14 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-08-15 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-08-16 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-08-17 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-08-18 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-08-19 00:00:00+00:00,NO_TRADE,0.11414625352116635,0,0.0
2020-08-20 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-08-21 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-08-22 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-08-23 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-08-24 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-08-25 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-08-26 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-08-27 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-08-28 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-08-29 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-08-30 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-08-31 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-09-01 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-09-02 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-09-03 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-09-04 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-09-05 00:00:00+00:00,SHORT,0.8099844463180316,-1,0.046312708708487124
2020-09-06 00:00:00+00:00,NO_TRADE,0.38709398603409145,0,0.0
2020-09-07 00:00:00+00:00,NO_TRADE,0.24980032346098313,0,0.0
2020-09-08 00:00:00+00:00,NO_TRADE,0.12297224089734554,1,0.0
2020-09-09 00:00:00+00:00,NO_TRADE,0.09496209518699644,1,0.0
2020-09-10 00:00:00+00:00,NO_TRADE,0.21772499650507807,0,0.0
2020-09-11 00:00:00+00:00,NO_TRADE,0.09256976519441135,1,0.0
2020-09-12 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-09-13 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-09-14 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-09-15 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-09-16 00:00:00+00:00,LONG,0.8284751061922765,1,0.05269875176185754
2020-09-17 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-09-18 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-09-19 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-09-20 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-09-21 00:00:00+00:00,NO_TRADE,0.10719809606466287,-1,0.0
2020-09-22 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-09-23 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-09-24 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-09-25 00:00:00+00:00,NO_TRADE,0.06927710403448945,1,0.0
2020-09-26 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-09-27 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-09-28 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-09-29 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-09-30 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-10-01 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-10-02 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-10-03 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-10-04 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-10-05 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-10-06 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-10-07 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-10-08 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-10-09 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-10-10 00:00:00+00:00,LONG,0.8139981950444787,1,0.015017981221145508
2020-10-11 00:00:00+00:00,LONG,0.7495417739432391,1,0.02421754568228031
2020-10-12 00:00:00+00:00,NO_TRADE,0.4747436102557169,0,0.0
2020-10-13 00:00:00+00:00,NO_TRADE,0.15888297618548644,-1,0.0
2020-10-14 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-10-15 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-10-16 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-10-17 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-10-18 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-10-19 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-10-20 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-10-21 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-10-22 00:00:00+00:00,LONG,0.9591718931151606,1,0.01617495858245853
2020-10-23 00:00:00+00:00,LONG,0.9445677573772672,0,-0.007781880040593166
2020-10-24 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-10-25 00:00:00+00:00,NO_TRADE,0.17357740390052562,-1,0.0
2020-10-26 00:00:00+00:00,NO_TRADE,0.07237059218199202,-1,0.0
2020-10-27 00:00:00+00:00,NO_TRADE,0.06646021670218,-1,0.0
2020-10-28 00:00:00+00:00,NO_TRADE,0.07020888910706917,-1,0.0
2020-10-29 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-10-30 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-10-31 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-11-01 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-11-02 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-11-03 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-11-04 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-11-05 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-11-06 00:00:00+00:00,LONG,0.973961727298628,1,0.01753257370036524
2020-11-07 00:00:00+00:00,LONG,0.9666241745183055,0,-0.009442673850435174
2020-11-08 00:00:00+00:00,LONG,0.9066488027208943,0,0.005807543742476469
2020-11-09 00:00:00+00:00,LONG,0.8214694537997548,1,0.02992872248333869
2020-11-10 00:00:00+00:00,LONG,0.7903574331076295,1,0.02582380337709371
2020-11-11 00:00:00+00:00,LONG,0.8829442730299053,0,0.008401258631138853
2020-11-12 00:00:00+00:00,LONG,0.6016900373109089,0,0.008563645204208853
2020-11-13 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-11-14 00:00:00+00:00,NO_TRADE,0.0,-1,0.0
2020-11-15 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-11-16 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-11-17 00:00:00+00:00,NO_TRADE,0.0,0,0.0
2020-11-18 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-11-19 00:00:00+00:00,NO_TRADE,0.0,1,0.0
2020-11-20 00:00:00+00:00,LONG,0.8874293954825788,1,0.09376045141030956
2020-11-21 00:00:00+00:00,LONG,0.9635714425753813,1,0.11415395079943497
2020-11-22 00:00:00+00:00,LONG,0.8898028979921088,1,0.10709333819016656
2020-11-23 00:00:00+00:00,LONG,0.7554569235114834,0,0.009078485247169813
2020-11-24 00:00:00+00:00,NO_TRADE,0.126050943116585,-1,0.0
2020-11-25 00:00:00+00:00,NO_TRADE,0.18612783157815135,-1,0.0
